ID,A,B,C,D,r
11184,1,15,10,1,1
11185,1,15,10,1,2
11186,1,15,10,1,3
11187,1,15,10,1,4
11188,1,15,10,1,5
11189,1,15,10,1,6
11190,1,15,10,1,7
11191,1,15,10,1,8
11192,1,15,10,2,1
11193,1,15,10,2,2
11194,1,15,10,2,3
11195,1,15,10,2,4
11196,1,15,10,2,5
11197,1,15,10,2,6
11198,1,15,10,2,7
11199,1,15,10,2,8
11200,1,15,10,3,1
11201,1,15,10,3,2
11202,1,15,10,3,3
11203,1,15,10,3,4
11204,1,15,10,3,5
11205,1,15,10,3,6
11206,1,15,10,3,7
11207,1,15,10,3,8
11208,1,15,10,4,1
11209,1,15,10,4,2
11210,1,15,10,4,3
11211,1,15,10,4,4
11212,1,15,10,4,5
11213,1,15,10,4,6
11214,1,15,10,4,7
11215,1,15,10,4,8
11216,1,15,10,5,1
11217,1,15,10,5,2
11218,1,15,10,5,3
11219,1,15,10,5,4
11220,1,15,10,5,5
11221,1,15,10,5,6
11222,1,15,10,5,7
11223,1,15,10,5,8
11224,1,15,10,6,1
11225,1,15,10,6,2
11226,1,15,10,6,3
11227,1,15,10,6,4
11228,1,15,10,6,5
11229,1,15,10,6,6
11230,1,15,10,6,7
11231,1,15,10,6,8
11232,1,15,11,1,1
11233,1,15,11,1,2
11234,1,15,11,1,3
11235,1,15,11,1,4
11236,1,15,11,1,5
11237,1,15,11,1,6
11238,1,15,11,1,7
11239,1,15,11,1,8
11240,1,15,11,2,1
11241,1,15,11,2,2
11242,1,15,11,2,3
11243,1,15,11,2,4
11244,1,15,11,2,5
11245,1,15,11,2,6
11246,1,15,11,2,7
11247,1,15,11,2,8
11248,1,15,11,3,1
11249,1,15,11,3,2
11250,1,15,11,3,3
11251,1,15,11,3,4
11252,1,15,11,3,5
11253,1,15,11,3,6
11254,1,15,11,3,7
11255,1,15,11,3,8
11256,1,15,11,4,1
11257,1,15,11,4,2
11258,1,15,11,4,3
11259,1,15,11,4,4
11260,1,15,11,4,5
11261,1,15,11,4,6
11262,1,15,11,4,7
11263,1,15,11,4,8
11264,1,15,11,5,1
11265,1,15,11,5,2
11266,1,15,11,5,3
11267,1,15,11,5,4
11268,1,15,11,5,5
11269,1,15,11,5,6
11270,1,15,11,5,7
11271,1,15,11,5,8
11272,1,15,11,6,1
11273,1,15,11,6,2
11274,1,15,11,6,3
11275,1,15,11,6,4
11276,1,15,11,6,5
11277,1,15,11,6,6
11278,1,15,11,6,7
11279,1,15,11,6,8
11280,1,15,12,1,1
11281,1,15,12,1,2
11282,1,15,12,1,3
11283,1,15,12,1,4
11284,1,15,12,1,5
11285,1,15,12,1,6
11286,1,15,12,1,7
11287,1,15,12,1,8
11288,1,15,12,2,1
11289,1,15,12,2,2
11290,1,15,12,2,3
11291,1,15,12,2,4
11292,1,15,12,2,5
11293,1,15,12,2,6
11294,1,15,12,2,7
11295,1,15,12,2,8
11296,1,15,12,3,1
11297,1,15,12,3,2
11298,1,15,12,3,3
11299,1,15,12,3,4
11300,1,15,12,3,5
11301,1,15,12,3,6
11302,1,15,12,3,7
11303,1,15,12,3,8
11304,1,15,12,4,1
11305,1,15,12,4,2
11306,1,15,12,4,3
11307,1,15,12,4,4
11308,1,15,12,4,5
11309,1,15,12,4,6
11310,1,15,12,4,7
11311,1,15,12,4,8
11312,1,15,12,5,1
11313,1,15,12,5,2
11314,1,15,12,5,3
11315,1,15,12,5,4
11316,1,15,12,5,5
11317,1,15,12,5,6
11318,1,15,12,5,7
11319,1,15,12,5,8
11320,1,15,12,6,1
11321,1,15,12,6,2
11322,1,15,12,6,3
11323,1,15,12,6,4
11324,1,15,12,6,5
11325,1,15,12,6,6
11326,1,15,12,6,7
11327,1,15,12,6,8
11328,1,15,13,1,1
11329,1,15,13,1,2
11330,1,15,13,1,3
11331,1,15,13,1,4
11332,1,15,13,1,5
11333,1,15,13,1,6
11334,1,15,13,1,7
11335,1,15,13,1,8
11336,1,15,13,2,1
11337,1,15,13,2,2
11338,1,15,13,2,3
11339,1,15,13,2,4
11340,1,15,13,2,5
11341,1,15,13,2,6
11342,1,15,13,2,7
11343,1,15,13,2,8
11344,1,15,13,3,1
11345,1,15,13,3,2
11346,1,15,13,3,3
11347,1,15,13,3,4
11348,1,15,13,3,5
11349,1,15,13,3,6
11350,1,15,13,3,7
11351,1,15,13,3,8
11352,1,15,13,4,1
11353,1,15,13,4,2
11354,1,15,13,4,3
11355,1,15,13,4,4
11356,1,15,13,4,5
11357,1,15,13,4,6
11358,1,15,13,4,7
11359,1,15,13,4,8
11360,1,15,13,5,1
11361,1,15,13,5,2
11362,1,15,13,5,3
11363,1,15,13,5,4
11364,1,15,13,5,5
11365,1,15,13,5,6
11366,1,15,13,5,7
11367,1,15,13,5,8
11368,1,15,13,6,1
11369,1,15,13,6,2
11370,1,15,13,6,3
11371,1,15,13,6,4
11372,1,15,13,6,5
11373,1,15,13,6,6
11374,1,15,13,6,7
11375,1,15,13,6,8
11376,1,15,14,1,1
11377,1,15,14,1,2
11378,1,15,14,1,3
11379,1,15,14,1,4
11380,1,15,14,1,5
11381,1,15,14,1,6
11382,1,15,14,1,7
11383,1,15,14,1,8
11384,1,15,14,2,1
11385,1,15,14,2,2
11386,1,15,14,2,3
11387,1,15,14,2,4
11388,1,15,14,2,5
11389,1,15,14,2,6
11390,1,15,14,2,7
11391,1,15,14,2,8
11392,1,15,14,3,1
11393,1,15,14,3,2
11394,1,15,14,3,3
11395,1,15,14,3,4
11396,1,15,14,3,5
11397,1,15,14,3,6
11398,1,15,14,3,7
11399,1,15,14,3,8
11400,1,15,14,4,1
11401,1,15,14,4,2
11402,1,15,14,4,3
11403,1,15,14,4,4
11404,1,15,14,4,5
11405,1,15,14,4,6
11406,1,15,14,4,7
11407,1,15,14,4,8
11408,1,15,14,5,1
11409,1,15,14,5,2
11410,1,15,14,5,3
11411,1,15,14,5,4
11412,1,15,14,5,5
11413,1,15,14,5,6
11414,1,15,14,5,7
11415,1,15,14,5,8
11416,1,15,14,6,1
11417,1,15,14,6,2
11418,1,15,14,6,3
11419,1,15,14,6,4
11420,1,15,14,6,5
11421,1,15,14,6,6
11422,1,15,14,6,7
11423,1,15,14,6,8
11424,1,15,15,1,1
11425,1,15,15,1,2
11426,1,15,15,1,3
11427,1,15,15,1,4
11428,1,15,15,1,5
11429,1,15,15,1,6
11430,1,15,15,1,7
11431,1,15,15,1,8
11432,1,15,15,2,1
11433,1,15,15,2,2
11434,1,15,15,2,3
11435,1,15,15,2,4
11436,1,15,15,2,5
11437,1,15,15,2,6
11438,1,15,15,2,7
11439,1,15,15,2,8
11440,1,15,15,3,1
11441,1,15,15,3,2
11442,1,15,15,3,3
11443,1,15,15,3,4
11444,1,15,15,3,5
11445,1,15,15,3,6
11446,1,15,15,3,7
11447,1,15,15,3,8
11448,1,15,15,4,1
11449,1,15,15,4,2
11450,1,15,15,4,3
11451,1,15,15,4,4
11452,1,15,15,4,5
11453,1,15,15,4,6
11454,1,15,15,4,7
11455,1,15,15,4,8
11456,1,15,15,5,1
11457,1,15,15,5,2
11458,1,15,15,5,3
11459,1,15,15,5,4
11460,1,15,15,5,5
11461,1,15,15,5,6
11462,1,15,15,5,7
11463,1,15,15,5,8
11464,1,15,15,6,1
11465,1,15,15,6,2
11466,1,15,15,6,3
11467,1,15,15,6,4
11468,1,15,15,6,5
11469,1,15,15,6,6
11470,1,15,15,6,7
11471,1,15,15,6,8
11472,1,15,16,1,1
11473,1,15,16,1,2
11474,1,15,16,1,3
11475,1,15,16,1,4
11476,1,15,16,1,5
11477,1,15,16,1,6
11478,1,15,16,1,7
11479,1,15,16,1,8
11480,1,15,16,2,1
11481,1,15,16,2,2
11482,1,15,16,2,3
11483,1,15,16,2,4
11484,1,15,16,2,5
11485,1,15,16,2,6
11486,1,15,16,2,7
11487,1,15,16,2,8
11488,1,15,16,3,1
11489,1,15,16,3,2
11490,1,15,16,3,3
11491,1,15,16,3,4
11492,1,15,16,3,5
11493,1,15,16,3,6
11494,1,15,16,3,7
11495,1,15,16,3,8
11496,1,15,16,4,1
11497,1,15,16,4,2
11498,1,15,16,4,3
11499,1,15,16,4,4
11500,1,15,16,4,5
11501,1,15,16,4,6
11502,1,15,16,4,7
11503,1,15,16,4,8
11504,1,15,16,5,1
11505,1,15,16,5,2
11506,1,15,16,5,3
11507,1,15,16,5,4
11508,1,15,16,5,5
11509,1,15,16,5,6
11510,1,15,16,5,7
11511,1,15,16,5,8
11512,1,15,16,6,1
11513,1,15,16,6,2
11514,1,15,16,6,3
11515,1,15,16,6,4
11516,1,15,16,6,5
11517,1,15,16,6,6
11518,1,15,16,6,7
11519,1,15,16,6,8
11520,1,16,1,1,1
11521,1,16,1,1,2
11522,1,16,1,1,3
11523,1,16,1,1,4
11524,1,16,1,1,5
11525,1,16,1,1,6
11526,1,16,1,1,7
11527,1,16,1,1,8
11528,1,16,1,2,1
11529,1,16,1,2,2
11530,1,16,1,2,3
11531,1,16,1,2,4
11532,1,16,1,2,5
11533,1,16,1,2,6
11534,1,16,1,2,7
11535,1,16,1,2,8
11536,1,16,1,3,1
11537,1,16,1,3,2
11538,1,16,1,3,3
11539,1,16,1,3,4
11540,1,16,1,3,5
11541,1,16,1,3,6
11542,1,16,1,3,7
11543,1,16,1,3,8
11544,1,16,1,4,1
11545,1,16,1,4,2
11546,1,16,1,4,3
11547,1,16,1,4,4
11548,1,16,1,4,5
11549,1,16,1,4,6
11550,1,16,1,4,7
11551,1,16,1,4,8
11552,1,16,1,5,1
11553,1,16,1,5,2
11554,1,16,1,5,3
11555,1,16,1,5,4
11556,1,16,1,5,5
11557,1,16,1,5,6
11558,1,16,1,5,7
11559,1,16,1,5,8
11560,1,16,1,6,1
11561,1,16,1,6,2
11562,1,16,1,6,3
11563,1,16,1,6,4
11564,1,16,1,6,5
11565,1,16,1,6,6
11566,1,16,1,6,7
11567,1,16,1,6,8
11568,1,16,2,1,1
11569,1,16,2,1,2
11570,1,16,2,1,3
11571,1,16,2,1,4
11572,1,16,2,1,5
11573,1,16,2,1,6
11574,1,16,2,1,7
11575,1,16,2,1,8
11576,1,16,2,2,1
11577,1,16,2,2,2
11578,1,16,2,2,3
11579,1,16,2,2,4
11580,1,16,2,2,5
11581,1,16,2,2,6
11582,1,16,2,2,7
11583,1,16,2,2,8
11584,1,16,2,3,1
11585,1,16,2,3,2
11586,1,16,2,3,3
11587,1,16,2,3,4
11588,1,16,2,3,5
11589,1,16,2,3,6
11590,1,16,2,3,7
11591,1,16,2,3,8
11592,1,16,2,4,1
11593,1,16,2,4,2
11594,1,16,2,4,3
11595,1,16,2,4,4
11596,1,16,2,4,5
11597,1,16,2,4,6
11598,1,16,2,4,7
11599,1,16,2,4,8
11600,1,16,2,5,1
11601,1,16,2,5,2
11602,1,16,2,5,3
11603,1,16,2,5,4
11604,1,16,2,5,5
11605,1,16,2,5,6
11606,1,16,2,5,7
11607,1,16,2,5,8
11608,1,16,2,6,1
11609,1,16,2,6,2
11610,1,16,2,6,3
11611,1,16,2,6,4
11612,1,16,2,6,5
11613,1,16,2,6,6
11614,1,16,2,6,7
11615,1,16,2,6,8
11616,1,16,3,1,1
11617,1,16,3,1,2
11618,1,16,3,1,3
11619,1,16,3,1,4
11620,1,16,3,1,5
11621,1,16,3,1,6
11622,1,16,3,1,7
11623,1,16,3,1,8
11624,1,16,3,2,1
11625,1,16,3,2,2
11626,1,16,3,2,3
11627,1,16,3,2,4
11628,1,16,3,2,5
11629,1,16,3,2,6
11630,1,16,3,2,7
11631,1,16,3,2,8
11632,1,16,3,3,1
11633,1,16,3,3,2
11634,1,16,3,3,3
11635,1,16,3,3,4
11636,1,16,3,3,5
11637,1,16,3,3,6
11638,1,16,3,3,7
11639,1,16,3,3,8
11640,1,16,3,4,1
11641,1,16,3,4,2
11642,1,16,3,4,3
11643,1,16,3,4,4
11644,1,16,3,4,5
11645,1,16,3,4,6
11646,1,16,3,4,7
11647,1,16,3,4,8
11648,1,16,3,5,1
11649,1,16,3,5,2
11650,1,16,3,5,3
11651,1,16,3,5,4
11652,1,16,3,5,5
11653,1,16,3,5,6
11654,1,16,3,5,7
11655,1,16,3,5,8
11656,1,16,3,6,1
11657,1,16,3,6,2
11658,1,16,3,6,3
11659,1,16,3,6,4
11660,1,16,3,6,5
11661,1,16,3,6,6
11662,1,16,3,6,7
11663,1,16,3,6,8
11664,1,16,4,1,1
11665,1,16,4,1,2
11666,1,16,4,1,3
11667,1,16,4,1,4
11668,1,16,4,1,5
11669,1,16,4,1,6
11670,1,16,4,1,7
11671,1,16,4,1,8
11672,1,16,4,2,1
11673,1,16,4,2,2
11674,1,16,4,2,3
11675,1,16,4,2,4
11676,1,16,4,2,5
11677,1,16,4,2,6
11678,1,16,4,2,7
11679,1,16,4,2,8
11680,1,16,4,3,1
11681,1,16,4,3,2
11682,1,16,4,3,3
11683,1,16,4,3,4
11684,1,16,4,3,5
11685,1,16,4,3,6
11686,1,16,4,3,7
11687,1,16,4,3,8
11688,1,16,4,4,1
11689,1,16,4,4,2
11690,1,16,4,4,3
11691,1,16,4,4,4
11692,1,16,4,4,5
11693,1,16,4,4,6
11694,1,16,4,4,7
11695,1,16,4,4,8
11696,1,16,4,5,1
11697,1,16,4,5,2
11698,1,16,4,5,3
11699,1,16,4,5,4
11700,1,16,4,5,5
11701,1,16,4,5,6
11702,1,16,4,5,7
11703,1,16,4,5,8
11704,1,16,4,6,1
11705,1,16,4,6,2
11706,1,16,4,6,3
11707,1,16,4,6,4
11708,1,16,4,6,5
11709,1,16,4,6,6
11710,1,16,4,6,7
11711,1,16,4,6,8
11712,1,16,5,1,1
11713,1,16,5,1,2
11714,1,16,5,1,3
11715,1,16,5,1,4
11716,1,16,5,1,5
11717,1,16,5,1,6
11718,1,16,5,1,7
11719,1,16,5,1,8
11720,1,16,5,2,1
11721,1,16,5,2,2
11722,1,16,5,2,3
11723,1,16,5,2,4
11724,1,16,5,2,5
11725,1,16,5,2,6
11726,1,16,5,2,7
11727,1,16,5,2,8
11728,1,16,5,3,1
11729,1,16,5,3,2
11730,1,16,5,3,3
11731,1,16,5,3,4
11732,1,16,5,3,5
11733,1,16,5,3,6
11734,1,16,5,3,7
11735,1,16,5,3,8
11736,1,16,5,4,1
11737,1,16,5,4,2
11738,1,16,5,4,3
11739,1,16,5,4,4
11740,1,16,5,4,5
11741,1,16,5,4,6
11742,1,16,5,4,7
11743,1,16,5,4,8
11744,1,16,5,5,1
11745,1,16,5,5,2
11746,1,16,5,5,3
11747,1,16,5,5,4
11748,1,16,5,5,5
11749,1,16,5,5,6
11750,1,16,5,5,7
11751,1,16,5,5,8
11752,1,16,5,6,1
11753,1,16,5,6,2
11754,1,16,5,6,3
11755,1,16,5,6,4
11756,1,16,5,6,5
11757,1,16,5,6,6
11758,1,16,5,6,7
11759,1,16,5,6,8
11760,1,16,6,1,1
11761,1,16,6,1,2
11762,1,16,6,1,3
11763,1,16,6,1,4
11764,1,16,6,1,5
11765,1,16,6,1,6
11766,1,16,6,1,7
11767,1,16,6,1,8
11768,1,16,6,2,1
11769,1,16,6,2,2
11770,1,16,6,2,3
11771,1,16,6,2,4
11772,1,16,6,2,5
11773,1,16,6,2,6
11774,1,16,6,2,7
11775,1,16,6,2,8
11776,1,16,6,3,1
11777,1,16,6,3,2
11778,1,16,6,3,3
11779,1,16,6,3,4
11780,1,16,6,3,5
11781,1,16,6,3,6
11782,1,16,6,3,7
11783,1,16,6,3,8
11784,1,16,6,4,1
11785,1,16,6,4,2
11786,1,16,6,4,3
11787,1,16,6,4,4
11788,1,16,6,4,5
11789,1,16,6,4,6
11790,1,16,6,4,7
11791,1,16,6,4,8
11792,1,16,6,5,1
11793,1,16,6,5,2
11794,1,16,6,5,3
11795,1,16,6,5,4
11796,1,16,6,5,5
11797,1,16,6,5,6
11798,1,16,6,5,7
11799,1,16,6,5,8
11800,1,16,6,6,1
11801,1,16,6,6,2
11802,1,16,6,6,3
11803,1,16,6,6,4
11804,1,16,6,6,5
11805,1,16,6,6,6
11806,1,16,6,6,7
11807,1,16,6,6,8
11808,1,16,7,1,1
11809,1,16,7,1,2
11810,1,16,7,1,3
11811,1,16,7,1,4
11812,1,16,7,1,5
11813,1,16,7,1,6
11814,1,16,7,1,7
11815,1,16,7,1,8
11816,1,16,7,2,1
11817,1,16,7,2,2
11818,1,16,7,2,3
11819,1,16,7,2,4
11820,1,16,7,2,5
11821,1,16,7,2,6
11822,1,16,7,2,7
11823,1,16,7,2,8
11824,1,16,7,3,1
11825,1,16,7,3,2
11826,1,16,7,3,3
11827,1,16,7,3,4
11828,1,16,7,3,5
11829,1,16,7,3,6
11830,1,16,7,3,7
11831,1,16,7,3,8
11832,1,16,7,4,1
11833,1,16,7,4,2
11834,1,16,7,4,3
11835,1,16,7,4,4
11836,1,16,7,4,5
11837,1,16,7,4,6
11838,1,16,7,4,7
11839,1,16,7,4,8
11840,1,16,7,5,1
11841,1,16,7,5,2
11842,1,16,7,5,3
11843,1,16,7,5,4
11844,1,16,7,5,5
11845,1,16,7,5,6
11846,1,16,7,5,7
11847,1,16,7,5,8
11848,1,16,7,6,1
11849,1,16,7,6,2
11850,1,16,7,6,3
11851,1,16,7,6,4
11852,1,16,7,6,5
11853,1,16,7,6,6
11854,1,16,7,6,7
11855,1,16,7,6,8
11856,1,16,8,1,1
11857,1,16,8,1,2
11858,1,16,8,1,3
11859,1,16,8,1,4
11860,1,16,8,1,5
11861,1,16,8,1,6
11862,1,16,8,1,7
11863,1,16,8,1,8
11864,1,16,8,2,1
11865,1,16,8,2,2
11866,1,16,8,2,3
11867,1,16,8,2,4
11868,1,16,8,2,5
11869,1,16,8,2,6
11870,1,16,8,2,7
11871,1,16,8,2,8
11872,1,16,8,3,1
11873,1,16,8,3,2
11874,1,16,8,3,3
11875,1,16,8,3,4
11876,1,16,8,3,5
11877,1,16,8,3,6
11878,1,16,8,3,7
11879,1,16,8,3,8
11880,1,16,8,4,1
11881,1,16,8,4,2
11882,1,16,8,4,3
11883,1,16,8,4,4
11884,1,16,8,4,5
11885,1,16,8,4,6
11886,1,16,8,4,7
11887,1,16,8,4,8
11888,1,16,8,5,1
11889,1,16,8,5,2
11890,1,16,8,5,3
11891,1,16,8,5,4
11892,1,16,8,5,5
11893,1,16,8,5,6
11894,1,16,8,5,7
11895,1,16,8,5,8
11896,1,16,8,6,1
11897,1,16,8,6,2
11898,1,16,8,6,3
11899,1,16,8,6,4
11900,1,16,8,6,5
11901,1,16,8,6,6
11902,1,16,8,6,7
11903,1,16,8,6,8
11904,1,16,9,1,1
11905,1,16,9,1,2
11906,1,16,9,1,3
11907,1,16,9,1,4
11908,1,16,9,1,5
11909,1,16,9,1,6
11910,1,16,9,1,7
11911,1,16,9,1,8
11912,1,16,9,2,1
11913,1,16,9,2,2
11914,1,16,9,2,3
11915,1,16,9,2,4
11916,1,16,9,2,5
11917,1,16,9,2,6
11918,1,16,9,2,7
11919,1,16,9,2,8
11920,1,16,9,3,1
11921,1,16,9,3,2
11922,1,16,9,3,3
11923,1,16,9,3,4
11924,1,16,9,3,5
11925,1,16,9,3,6
11926,1,16,9,3,7
11927,1,16,9,3,8
11928,1,16,9,4,1
11929,1,16,9,4,2
11930,1,16,9,4,3
11931,1,16,9,4,4
11932,1,16,9,4,5
11933,1,16,9,4,6
11934,1,16,9,4,7
11935,1,16,9,4,8
11936,1,16,9,5,1
11937,1,16,9,5,2
11938,1,16,9,5,3
11939,1,16,9,5,4
11940,1,16,9,5,5
11941,1,16,9,5,6
11942,1,16,9,5,7
11943,1,16,9,5,8
11944,1,16,9,6,1
11945,1,16,9,6,2
11946,1,16,9,6,3
11947,1,16,9,6,4
11948,1,16,9,6,5
11949,1,16,9,6,6
11950,1,16,9,6,7
11951,1,16,9,6,8
11952,1,16,10,1,1
11953,1,16,10,1,2
11954,1,16,10,1,3
11955,1,16,10,1,4
11956,1,16,10,1,5
11957,1,16,10,1,6
11958,1,16,10,1,7
11959,1,16,10,1,8
11960,1,16,10,2,1
11961,1,16,10,2,2
11962,1,16,10,2,3
11963,1,16,10,2,4
11964,1,16,10,2,5
11965,1,16,10,2,6
11966,1,16,10,2,7
11967,1,16,10,2,8
11968,1,16,10,3,1
11969,1,16,10,3,2
11970,1,16,10,3,3
11971,1,16,10,3,4
11972,1,16,10,3,5
11973,1,16,10,3,6
11974,1,16,10,3,7
11975,1,16,10,3,8
11976,1,16,10,4,1
11977,1,16,10,4,2
11978,1,16,10,4,3
11979,1,16,10,4,4
11980,1,16,10,4,5
11981,1,16,10,4,6
11982,1,16,10,4,7
11983,1,16,10,4,8
11984,1,16,10,5,1
11985,1,16,10,5,2
11986,1,16,10,5,3
11987,1,16,10,5,4
11988,1,16,10,5,5
11989,1,16,10,5,6
11990,1,16,10,5,7
11991,1,16,10,5,8
11992,1,16,10,6,1
11993,1,16,10,6,2
11994,1,16,10,6,3
11995,1,16,10,6,4
11996,1,16,10,6,5
11997,1,16,10,6,6
11998,1,16,10,6,7
11999,1,16,10,6,8
12000,1,16,11,1,1
12001,1,16,11,1,2
12002,1,16,11,1,3
12003,1,16,11,1,4
12004,1,16,11,1,5
12005,1,16,11,1,6
12006,1,16,11,1,7
12007,1,16,11,1,8
12008,1,16,11,2,1
12009,1,16,11,2,2
12010,1,16,11,2,3
12011,1,16,11,2,4
12012,1,16,11,2,5
12013,1,16,11,2,6
12014,1,16,11,2,7
12015,1,16,11,2,8
12016,1,16,11,3,1
12017,1,16,11,3,2
12018,1,16,11,3,3
12019,1,16,11,3,4
12020,1,16,11,3,5
12021,1,16,11,3,6
12022,1,16,11,3,7
12023,1,16,11,3,8
12024,1,16,11,4,1
12025,1,16,11,4,2
12026,1,16,11,4,3
12027,1,16,11,4,4
12028,1,16,11,4,5
12029,1,16,11,4,6
12030,1,16,11,4,7
12031,1,16,11,4,8
12032,1,16,11,5,1
12033,1,16,11,5,2
12034,1,16,11,5,3
12035,1,16,11,5,4
12036,1,16,11,5,5
12037,1,16,11,5,6
12038,1,16,11,5,7
12039,1,16,11,5,8
12040,1,16,11,6,1
12041,1,16,11,6,2
12042,1,16,11,6,3
12043,1,16,11,6,4
12044,1,16,11,6,5
12045,1,16,11,6,6
12046,1,16,11,6,7
12047,1,16,11,6,8
12048,1,16,12,1,1
12049,1,16,12,1,2
12050,1,16,12,1,3
12051,1,16,12,1,4
12052,1,16,12,1,5
12053,1,16,12,1,6
12054,1,16,12,1,7
12055,1,16,12,1,8
12056,1,16,12,2,1
12057,1,16,12,2,2
12058,1,16,12,2,3
12059,1,16,12,2,4
12060,1,16,12,2,5
12061,1,16,12,2,6
12062,1,16,12,2,7
12063,1,16,12,2,8
12064,1,16,12,3,1
12065,1,16,12,3,2
12066,1,16,12,3,3
12067,1,16,12,3,4
12068,1,16,12,3,5
12069,1,16,12,3,6
12070,1,16,12,3,7
12071,1,16,12,3,8
12072,1,16,12,4,1
12073,1,16,12,4,2
12074,1,16,12,4,3
12075,1,16,12,4,4
12076,1,16,12,4,5
12077,1,16,12,4,6
12078,1,16,12,4,7
12079,1,16,12,4,8
12080,1,16,12,5,1
12081,1,16,12,5,2
12082,1,16,12,5,3
12083,1,16,12,5,4
12084,1,16,12,5,5
12085,1,16,12,5,6
12086,1,16,12,5,7
12087,1,16,12,5,8
12088,1,16,12,6,1
12089,1,16,12,6,2
12090,1,16,12,6,3
12091,1,16,12,6,4
12092,1,16,12,6,5
12093,1,16,12,6,6
12094,1,16,12,6,7
12095,1,16,12,6,8
12096,1,16,13,1,1
12097,1,16,13,1,2
12098,1,16,13,1,3
12099,1,16,13,1,4
12100,1,16,13,1,5
12101,1,16,13,1,6
12102,1,16,13,1,7
12103,1,16,13,1,8
12104,1,16,13,2,1
12105,1,16,13,2,2
12106,1,16,13,2,3
12107,1,16,13,2,4
12108,1,16,13,2,5
12109,1,16,13,2,6
12110,1,16,13,2,7
12111,1,16,13,2,8
12112,1,16,13,3,1
12113,1,16,13,3,2
12114,1,16,13,3,3
12115,1,16,13,3,4
12116,1,16,13,3,5
12117,1,16,13,3,6
12118,1,16,13,3,7
12119,1,16,13,3,8
12120,1,16,13,4,1
12121,1,16,13,4,2
12122,1,16,13,4,3
12123,1,16,13,4,4
12124,1,16,13,4,5
12125,1,16,13,4,6
12126,1,16,13,4,7
12127,1,16,13,4,8
12128,1,16,13,5,1
12129,1,16,13,5,2
12130,1,16,13,5,3
12131,1,16,13,5,4
12132,1,16,13,5,5
12133,1,16,13,5,6
12134,1,16,13,5,7
12135,1,16,13,5,8
12136,1,16,13,6,1
12137,1,16,13,6,2
12138,1,16,13,6,3
12139,1,16,13,6,4
12140,1,16,13,6,5
12141,1,16,13,6,6
12142,1,16,13,6,7
12143,1,16,13,6,8
12144,1,16,14,1,1
12145,1,16,14,1,2
12146,1,16,14,1,3
12147,1,16,14,1,4
12148,1,16,14,1,5
12149,1,16,14,1,6
12150,1,16,14,1,7
12151,1,16,14,1,8
12152,1,16,14,2,1
12153,1,16,14,2,2
12154,1,16,14,2,3
12155,1,16,14,2,4
12156,1,16,14,2,5
12157,1,16,14,2,6
12158,1,16,14,2,7
12159,1,16,14,2,8
12160,1,16,14,3,1
12161,1,16,14,3,2
12162,1,16,14,3,3
12163,1,16,14,3,4
12164,1,16,14,3,5
12165,1,16,14,3,6
12166,1,16,14,3,7
12167,1,16,14,3,8
12168,1,16,14,4,1
12169,1,16,14,4,2
12170,1,16,14,4,3
12171,1,16,14,4,4
12172,1,16,14,4,5
12173,1,16,14,4,6
12174,1,16,14,4,7
12175,1,16,14,4,8
12176,1,16,14,5,1
12177,1,16,14,5,2
12178,1,16,14,5,3
12179,1,16,14,5,4
12180,1,16,14,5,5
12181,1,16,14,5,6
12182,1,16,14,5,7
12183,1,16,14,5,8
12184,1,16,14,6,1
12185,1,16,14,6,2
12186,1,16,14,6,3
12187,1,16,14,6,4
12188,1,16,14,6,5
12189,1,16,14,6,6
12190,1,16,14,6,7
12191,1,16,14,6,8
12192,1,16,15,1,1
12193,1,16,15,1,2
12194,1,16,15,1,3
12195,1,16,15,1,4
12196,1,16,15,1,5
12197,1,16,15,1,6
12198,1,16,15,1,7
12199,1,16,15,1,8
12200,1,16,15,2,1
12201,1,16,15,2,2
12202,1,16,15,2,3
12203,1,16,15,2,4
12204,1,16,15,2,5
12205,1,16,15,2,6
12206,1,16,15,2,7
12207,1,16,15,2,8
12208,1,16,15,3,1
12209,1,16,15,3,2
12210,1,16,15,3,3
12211,1,16,15,3,4
12212,1,16,15,3,5
12213,1,16,15,3,6
12214,1,16,15,3,7
12215,1,16,15,3,8
12216,1,16,15,4,1
12217,1,16,15,4,2
12218,1,16,15,4,3
12219,1,16,15,4,4
12220,1,16,15,4,5
12221,1,16,15,4,6
12222,1,16,15,4,7
12223,1,16,15,4,8
12224,1,16,15,5,1
12225,1,16,15,5,2
12226,1,16,15,5,3
12227,1,16,15,5,4
12228,1,16,15,5,5
12229,1,16,15,5,6
12230,1,16,15,5,7
12231,1,16,15,5,8
12232,1,16,15,6,1
12233,1,16,15,6,2
12234,1,16,15,6,3
12235,1,16,15,6,4
12236,1,16,15,6,5
12237,1,16,15,6,6
12238,1,16,15,6,7
12239,1,16,15,6,8
12240,1,16,16,1,1
12241,1,16,16,1,2
12242,1,16,16,1,3
12243,1,16,16,1,4
12244,1,16,16,1,5
12245,1,16,16,1,6
12246,1,16,16,1,7
12247,1,16,16,1,8
12248,1,16,16,2,1
12249,1,16,16,2,2
12250,1,16,16,2,3
12251,1,16,16,2,4
12252,1,16,16,2,5
12253,1,16,16,2,6
12254,1,16,16,2,7
12255,1,16,16,2,8
12256,1,16,16,3,1
12257,1,16,16,3,2
12258,1,16,16,3,3
